# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Aug  5 04:50:37 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00034781 -1.65000 10.10000 0.7769399881 2.4103837680    0.776  0.467  3.8030  4.024    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-13      0.00 8.616e-01 1.381e-01 4.181e-05 1.152e-05 1.054e-04 -1.000 2.538e-04 3.602 3.917 4.123 3.717 3.420 3.132 2.779 2.493 2.468
0.00034781 -1.65000 10.10000 0.7776038051 2.4106318301    0.776  0.478  3.8019  4.010    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -4.22e-13      0.00 8.615e-01 1.382e-01 4.185e-05 1.153e-05 1.055e-04 -1.000 2.545e-04 3.575 3.895 4.100 3.691 3.393 3.103 2.747 2.459 2.434
0.00034781 -1.65000 10.10000 0.7798323631 2.4114610700    0.778  0.516  3.7971  3.954    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -4.89e-13      0.00 8.611e-01 1.386e-01 4.198e-05 1.157e-05 1.058e-04 -1.000 2.573e-04 3.480 3.817 4.020 3.599 3.292 2.995 2.628 2.331 2.303
0.00034781 -1.65000 10.10000 0.7815337181 2.4120904796    0.780  0.550  3.7914  3.898    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-13      0.00 8.602e-01 1.396e-01 4.231e-05 1.166e-05 1.066e-04 -1.000 2.593e-04 3.396 3.755 3.955 3.519 3.202 2.895 2.516 2.208 2.177
0.00034781 -1.65000 10.10000 0.7828639150 2.4125803900    0.781  0.580  3.7845  3.841    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -6.44e-13      0.00 8.575e-01 1.422e-01 4.321e-05 1.190e-05 1.089e-04 -1.000 2.680e-04 3.320 3.708 3.905 3.448 3.119 2.802 2.406 2.086 2.051
0.00034781 -1.65000 10.10000 0.7839349508 2.4129734623    0.782  0.607  3.7773  3.786    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -7.29e-13      0.00 8.449e-01 1.548e-01 4.688e-05 1.290e-05 1.179e-04 -1.000 2.753e-04 3.252 3.675 3.866 3.388 3.045 2.716 2.304 1.971 1.932
0.00034781 -1.65000 10.10000 0.7848324776 2.4133019065    0.783  0.632  3.7700  3.732    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -8.21e-13      0.00 8.247e-01 1.750e-01 5.176e-05 1.422e-05 1.297e-04 -1.000 2.913e-04 3.190 3.652 3.834 3.333 2.977 2.636 2.207 1.861 1.817
0.00034781 -1.65000 10.10000 0.7856234908 2.4135906574    0.784  0.657  3.7629  3.678    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-14      0.00 8.033e-01 1.964e-01 5.617e-05 1.540e-05 1.403e-04 -1.000 3.120e-04 3.126 3.630 3.802 3.277 2.908 2.555 2.110 1.752 1.703
0.00034781 -1.65000 10.10000 0.7863246202 2.4138460387    0.785  0.686  3.7564  3.625    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-15      0.00 7.887e-01 2.110e-01 5.917e-05 1.620e-05 1.474e-04 -1.000 3.105e-04 3.056 3.603 3.762 3.216 2.834 2.471 2.010 1.641 1.587
0.00034781 -1.65000 10.10000 0.7870184779 2.4140982563    0.785  0.722  3.7503  3.565    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.15e-15      0.00 7.793e-01 2.203e-01 6.114e-05 1.673e-05 1.521e-04 -1.000 3.386e-04 2.966 3.554 3.701 3.134 2.741 2.368 1.893 1.513 1.455
